"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","321","test_register","tests","2026-06-27","passed","2026-06-27","","test_auth","",""
"","6","test_get_budgets","tests","2026-06-27","passed","2026-06-27","","test_budget","",""
"","5","test_dashboard_summary","tests","2026-06-27","passed","2026-06-27","","test_dashboard","",""
"","2","test_health_check_returns_healthy_status","tests","2026-06-27","passed","2026-06-27","","test_health","",""
"","6","test_create_expense","tests","2026-06-27","passed","2026-06-27","","test_expense","",""
"","4","test_get_expenses","tests","2026-06-27","passed","2026-06-27","","test_expense","",""
"","472","test_login","tests","2026-06-27","passed","2026-06-27","","test_auth","",""
"","4","test_get_income","tests","2026-06-27","passed","2026-06-27","","test_income","",""
"","23","test_create_budget","tests","2026-06-27","passed","2026-06-27","","test_budget","",""
"","3","test_get_me","tests","2026-06-27","passed","2026-06-27","","test_users","",""
"Test user login functionality with a dynamic registration fallback","698","test_user_login","tests","2026-06-27","passed","2026-06-27","SeleniumRegressionTests","test_selenium_regression","",""
"Test form submission workflow on the income view layer","46702","test_form_submission_workflow","tests","2026-06-27","passed","2026-06-27","SeleniumRegressionTests","test_selenium_regression","",""
"","5","test_recent_transactions","tests","2026-06-27","passed","2026-06-27","","test_dashboard","",""
"","7","test_create_income","tests","2026-06-27","passed","2026-06-27","","test_income","",""
