"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that an income can be deleted","18","Delete income successfully","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that all budgets can be retrieved for authenticated user","16","Get all budgets successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetBudgets","Budget","",""
"Verify that expense creation fails with negative amount","8","Expense creation with negative amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that budget creation fails without authentication","2","Budget creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that registration fails with password lacking special characters","4","Registration with invalid password - no special character","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that budget retrieval fails without authentication","2","Get budgets without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetBudgets","Budget","",""
"Verify that income creation fails with zero amount","8","Income creation with zero amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateIncome","Income","",""
"Verify that budget update fails without authentication","3","Update budget without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that new user gets empty budget list","7","Get budgets returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetBudgets","Budget","",""
"Verify that expense creation fails when description is missing","5","Expense creation with missing description","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that expense creation fails without authentication","3","Expense creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that expense deletion fails without authentication","3","Delete expense without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that all expense records can be retrieved for authenticated user","14","Get all expenses successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that returned username matches authenticated user","5","Get current user returns correct username","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify that an income can be created with valid data","9","Successful income creation","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that registration fails when password is missing","5","Registration with missing password","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that login fails with incorrect password","273","Login with invalid password","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that health endpoint returns correct JSON structure","4","Health check response structure","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that health endpoint is accessible without authentication","3","Health check does not require authentication","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that user profile retrieval fails without authentication","3","Get current user without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify that login fails with non-existent username","6","Login with invalid username","Backend API","2026-06-29","failed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that all income records can be retrieved for authenticated user","15","Get all income successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetIncome","Income","",""
"Verify that budget creation fails when limit is missing","5","Budget creation with missing limit","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that a registered user can login with valid credentials","278","Successful user login","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that a new user can be registered with valid credentials","358","Successful user registration","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that login fails with empty username and password","4","Login with empty credentials","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that a budget can be deleted","6","Delete budget successfully","Backend API","2026-06-29","broken","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that expense creation fails when amount is missing","5","Expense creation with missing amount","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that budget deletion fails with non-existent ID","8","Delete budget with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that income deletion fails without authentication","3","Delete income without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that an expense can be created with valid data","9","Successful expense creation","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that budget creation fails with zero limit","6","Budget creation with zero limit","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that income deletion fails with non-existent ID","7","Delete income with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteIncome","Income","",""
"Verify that health endpoint returns valid JSON content type","3","Health check response is JSON","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that income creation fails when source is missing","6","Income creation with missing source","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that income creation fails with negative amount","8","Income creation with negative amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateIncome","Income","",""
"Verify that a budget can be updated with valid data","6","Update budget successfully","Backend API","2026-06-29","broken","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that registration fails with password shorter than 8 characters","4","Registration with invalid password - too short","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that expense retrieval fails without authentication","3","Get expenses without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that budget creation fails with empty category","8","Budget creation with empty category","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that a budget can be created with valid data","12","Successful budget creation","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that new user gets empty expense list","6","Get expenses returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetExpenses","Expense","",""
"Verify that expense update fails without authentication","3","Update expense without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that budget deletion fails without authentication","3","Delete budget without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDeleteBudget","Budget","",""
"Verify that authenticated user can retrieve their profile","5","Get current user successfully","Backend API","2026-06-29","passed","2026-06-29","TestGetCurrentUser","Users","",""
"Verify that income creation fails without authentication","2","Income creation without authentication","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that income retrieval fails without authentication","3","Get income without authentication","Backend API","2026-06-29","passed","2026-06-29","TestGetIncome","Income","",""
"Verify that recent transactions fails without authentication","3","Get recent transactions without authentication","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that an income can be updated with valid data","10","Update income successfully","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify that login fails when password is missing","4","Login with missing password","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that expense creation fails with invalid date format","5","Expense creation with invalid date format","Backend API","2026-06-29","passed","2026-06-29","TestCreateExpense","Expense","",""
"Verify that income update fails with non-existent ID","3","Update income with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify that registration fails with empty password","4","Registration with empty password","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that recent transactions can be retrieved","10","Get recent transactions successfully","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that registration fails when username is missing","3","Registration with missing username","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that income creation fails when amount is missing","5","Income creation with missing amount","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that dashboard summary returns correct data structure","8","Get dashboard summary successfully","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that an expense can be updated with valid data","11","Update expense successfully","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that income creation fails with invalid date format","5","Income creation with invalid date format","Backend API","2026-06-29","passed","2026-06-29","TestCreateIncome","Income","",""
"Verify that an expense can be deleted","18","Delete expense successfully","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that budget creation fails with negative limit","6","Budget creation with negative limit","Backend API","2026-06-29","failed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that health endpoint returns HTTP 200 status","3","Health check returns 200 status","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that recent transactions includes both income and expenses","26","Recent transactions with income and expense","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that registration fails with empty username","4","Registration with empty username","Backend API","2026-06-29","failed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that budget creation fails when category is missing","5","Budget creation with missing category","Backend API","2026-06-29","passed","2026-06-29","TestCreateBudget","Budget","",""
"Verify that income update fails without authentication","3","Update income without authentication","Backend API","2026-06-29","failed","2026-06-29","TestUpdateIncome","Income","",""
"Verify that budget update fails with non-existent ID","3","Update budget with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateBudget","Budget","",""
"Verify that new user gets empty income list","7","Get income returns empty list for new user","Backend API","2026-06-29","failed","2026-06-29","TestGetIncome","Income","",""
"Verify that expense deletion fails with non-existent ID","6","Delete expense with invalid ID","Backend API","2026-06-29","passed","2026-06-29","TestDeleteExpense","Expense","",""
"Verify that user profile contains all required fields","5","User profile contains required fields","Backend API","2026-06-29","passed","2026-06-29","TestUserProfileValidation","Users","",""
"Verify that dashboard summary fails without authentication","3","Get dashboard summary without authentication","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that expense update fails with non-existent ID","3","Update expense with invalid ID","Backend API","2026-06-29","failed","2026-06-29","TestUpdateExpense","Expense","",""
"Verify that new user gets empty recent transactions list","7","Recent transactions returns empty list for new user","Backend API","2026-06-29","passed","2026-06-29","TestRecentTransactions","Dashboard","",""
"Verify that login fails when username is missing","4","Login with missing username","Backend API","2026-06-29","passed","2026-06-29","TestUserLogin","Authentication","",""
"Verify that dashboard summary returns numeric financial values","7","Dashboard summary returns numeric values","Backend API","2026-06-29","passed","2026-06-29","TestDashboardSummary","Dashboard","",""
"Verify that duplicate username registration fails appropriately","277","Registration with duplicate username","Backend API","2026-06-29","passed","2026-06-29","TestUserRegistration","Authentication","",""
"Verify that username field is not empty","6","User profile username is not empty","Backend API","2026-06-29","passed","2026-06-29","TestUserProfileValidation","Users","",""
"Verify that health endpoint returns healthy status in JSON","4","Health check returns healthy status","Backend API","2026-06-29","passed","2026-06-29","TestHealthEndpoint","Health","",""
"Verify that expense creation fails with zero amount","9","Expense creation with zero amount","Backend API","2026-06-29","failed","2026-06-29","TestCreateExpense","Expense","",""
