"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test_get_expenses","tests","2026-06-27","passed","2026-06-27","","test_expense","",""
"","608","test_login","tests","2026-06-27","passed","2026-06-27","","test_auth","",""
"","2","test_health_check_returns_healthy_status","tests","2026-06-27","passed","2026-06-27","","test_health","",""
"","9","test_create_budget","tests","2026-06-27","passed","2026-06-27","","test_budget","",""
"","6","test_dashboard_summary","tests","2026-06-27","passed","2026-06-27","","test_dashboard","",""
"","7","test_recent_transactions","tests","2026-06-27","passed","2026-06-27","","test_dashboard","",""
"","7","test_create_income","tests","2026-06-27","passed","2026-06-27","","test_income","",""
"","5","test_get_income","tests","2026-06-27","passed","2026-06-27","","test_income","",""
"","7","test_get_budgets","tests","2026-06-27","passed","2026-06-27","","test_budget","",""
"","9","test_create_expense","tests","2026-06-27","passed","2026-06-27","","test_expense","",""
"","424","test_register","tests","2026-06-27","passed","2026-06-27","","test_auth","",""
"","4","test_get_me","tests","2026-06-27","passed","2026-06-27","","test_users","",""
